#sample	data_type	k_cov	mixture	lineages	log_barcodes	log_errors
l_2.2.1.1_SAMN30158101	assembly	1	no	2.2.1.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1.1 (1, 1, 1, 1, 1, 1)	
l_2.2.1.2_SAMEA7280700	assembly	1	no	2.2.1.2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1.2 (1, 1, 1)	
l_2.2.1_SAMEA110420229	assembly	1	no	2.2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.1_SAMEA7560122	assembly	1	no	2.2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.1_SAMN02414914	assembly	1	no	2.2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.1_SAMN17019726	assembly	1	no	2.2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.1_SAMN17019829	assembly	1	no	2.2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.1_SAMN20525154	assembly	1	no	2.2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.2_SAMD00142532	assembly	1	no	2.2.2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.2_SAMEA110420233	assembly	1	no	2.2.2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.2_SAMEA110420332	assembly	1	no	2.2.2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.2_SAMEA11761320	assembly	1	no	2.2.2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.2_SAMEA7561121	assembly	1	no	2.2.2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.2_SAMN00217452	assembly	1	no	2.2.2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2_SAMEA7280432	assembly	1	no	2.2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.2 (1, 1), 5.1.5 (1)	
l_2_SAMN02352501	assembly	1	no	2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2_SAMN02360575	assembly	1	no	2 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.1_SAMEA104390504	assembly	1	no	3.1.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.1_SAMEA1119704	assembly	1	no	3.1.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.1_SAMEA11934325	assembly	1	no	3.1.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.1_SAMEA1569182	assembly	1	no	3.1.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.1_SAMEA3448416	assembly	1	no	3.1.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.1_SAMN16522065	assembly	1	no	3.1.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.2.1_SAMEA7528695	assembly	1	no	3.1.2.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1), 3.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.2.1_SAMEA7553265	assembly	1	no	3.1.2.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1), 3.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.2.1_SAMEA7554742	assembly	1	no	3.1.2.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1), 3.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.2.1_SAMN28538112	assembly	1	no	3.1.2.1 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1), 3.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.2.2_SAMEA1018968	assembly	1	no	3.1.2.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1), 3.1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.2.2_SAMEA1019289	assembly	1	no	3.1.2.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1), 3.1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.2.2_SAMEA1117746	assembly	1	no	3.1.2.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1), 3.1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.2.2_SAMEA1117908	assembly	1	no	3.1.2.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1), 3.1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.2_SAMEA112806073	assembly	1	no	3.1.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1)	
l_3.1.2_SAMEA112806730	assembly	1	no	3.1.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1)	
l_3.1.2_SAMEA13300406	assembly	1	no	3.1.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1)	
l_3.1.2_SAMEA1397320	assembly	1	no	3.1.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1)	
l_3.1.2_SAMEA3139829	assembly	1	no	3.1.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1)	
l_3.1.2_SAMEA7526003	assembly	1	no	3.1.2 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1 (1), 3.1.2 (1, 1, 1, 1, 1, 1)	
l_3.1.3_SAMEA112804322	assembly	1	no	3.1.3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.3_SAMEA1904690	assembly	1	no	3.1.3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.3_SAMEA7549457	assembly	1	no	3.1.3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.3_SAMEA7551966	assembly	1	no	3.1.3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 6.1.1 (1)	
l_3.1.3_SAMN03647346	assembly	1	no	3.1.3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3.1.3_SAMN31037777	assembly	1	no	3.1.3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMEA1101605	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMEA1101749	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMEA1102302	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMEA1118550	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMEA3558138	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMEA7553811	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMEA7891384	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMEA8718842	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMN03647222	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_3_SAMN07766208	assembly	1	no	3 (1)	3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.1_SAMEA112802070	assembly	1	no	4.1.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.1 (1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.1_SAMEA4744433	assembly	1	no	4.1.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.1 (1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.1_SAMEA8742543	assembly	1	no	4.1.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.1 (1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.1_SAMN02403575	assembly	1	no	4.1.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.1 (1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.2_SAMEA7702156	assembly	1	no	4.1.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.2 (1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.2_SAMEA8719112	assembly	1	no	4.1.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.2_SAMN03647203	assembly	1	no	4.1.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.2_SAMN08214917	assembly	1	no	4.1.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.3.1_SAMEA1117921	assembly	1	no	4.1.1.3.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.3.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.3.1_SAMN03647165	assembly	1	no	4.1.1.3.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.3.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.3_SAMEA5282394	assembly	1	no	4.1.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.3_SAMEA5662665	assembly	1	no	4.1.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.3_SAMN08629010	assembly	1	no	4.1.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1.3_SAMN13813927	assembly	1	no	4.1.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1_SAMEA5164436	assembly	1	no	4.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1_SAMEA7546878	assembly	1	no	4.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1_SAMN08214774	assembly	1	no	4.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1_SAMN13568416	assembly	1	no	4.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1_SAMN13568502	assembly	1	no	4.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.1_SAMN32042280	assembly	1	no	4.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2.1.1_SAMEA3231752	assembly	1	no	4.1.2.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2.1.1_SAMEA7702112	assembly	1	no	4.1.2.1.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2.1_SAMEA112250195	assembly	1	no	4.1.2.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2.1_SAMEA112799351	assembly	1	no	4.1.2.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2.1_SAMEA3366435	assembly	1	no	4.1.2.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2.1_SAMN30380992	assembly	1	no	4.1.2.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2_SAMEA104614462	assembly	1	no	4.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2_SAMEA112806400	assembly	1	no	4.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2_SAMEA113537327	assembly	1	no	4.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2_SAMEA1707257	assembly	1	no	4.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2_SAMEA2297201	assembly	1	no	4.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.2_SAMEA4798709	assembly	1	no	4.1.2 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.3_SAMEA112801712	assembly	1	no	4.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.3_SAMEA13292641	assembly	1	no	4.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.3_SAMEA4774475	assembly	1	no	4.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.3_SAMEA6456275	assembly	1	no	4.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.3_SAMN04522001	assembly	1	no	4.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.3_SAMN08383192	assembly	1	no	4.1.3 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.4_SAMEA112803605	assembly	1	no	4.1.4 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.4_SAMEA2682713	assembly	1	no	4.1.4 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.4_SAMEA5164156	assembly	1	no	4.1.4 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.4_SAMEA5330340	assembly	1	no	4.1.4 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.4_SAMEA7702118	assembly	1	no	4.1.4 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1.4_SAMN28106841	assembly	1	no	4.1.4 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1.4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1_SAMEA112250187	assembly	1	no	4.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1_SAMEA1406057	assembly	1	no	4.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1_SAMEA14460025	assembly	1	no	4.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1_SAMEA14460116	assembly	1	no	4.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1_SAMEA5607318	assembly	1	no	4.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1_SAMEA7157576	assembly	1	no	4.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1_SAMEA7555847	assembly	1	no	4.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_4.1_SAMN08612780	assembly	1	no	4.1 (1)	4 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 4.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
